"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"55",55,"2022-02-03","daytime","evo5",101,"2022-02-03_pm","evo","2022-02-03_pm_evo5"
"56",56,"2022-02-03","daytime","rap1",79,"2022-02-03_pm","anc","2022-02-03_pm_rap1"
"57",57,"2022-02-03","daytime","rap2",72,"2022-02-03_pm","anc","2022-02-03_pm_rap2"
"58",58,"2022-02-03","daytime","rap3",109,"2022-02-03_pm","anc","2022-02-03_pm_rap3"
"59",59,"2022-02-03","daytime","rap4",50,"2022-02-03_pm","anc","2022-02-03_pm_rap4"
"60",60,"2022-02-03","daytime","rap5",91,"2022-02-03_pm","anc","2022-02-03_pm_rap5"
"61",61,"2022-02-04","overnight","evo1",324,"2022-02-04_am","evo","2022-02-04_am_evo1"
"62",62,"2022-02-04","overnight","evo2",163,"2022-02-04_am","evo","2022-02-04_am_evo2"
"63",63,"2022-02-04","overnight","evo3",226,"2022-02-04_am","evo","2022-02-04_am_evo3"
"64",64,"2022-02-04","overnight","evo4",342,"2022-02-04_am","evo","2022-02-04_am_evo4"
"65",65,"2022-02-04","overnight","evo5",196,"2022-02-04_am","evo","2022-02-04_am_evo5"
"66",66,"2022-02-04","overnight","rap1",254,"2022-02-04_am","anc","2022-02-04_am_rap1"
"67",67,"2022-02-04","overnight","rap2",194,"2022-02-04_am","anc","2022-02-04_am_rap2"
"68",68,"2022-02-04","overnight","rap3",234,"2022-02-04_am","anc","2022-02-04_am_rap3"
"69",69,"2022-02-04","overnight","rap4",232,"2022-02-04_am","anc","2022-02-04_am_rap4"
"70",70,"2022-02-04","overnight","rap5",232,"2022-02-04_am","anc","2022-02-04_am_rap5"
"71",71,"2022-02-04","daytime","evo1",187,"2022-02-04_pm","evo","2022-02-04_pm_evo1"
"72",72,"2022-02-04","daytime","evo2",244,"2022-02-04_pm","evo","2022-02-04_pm_evo2"
"73",73,"2022-02-04","daytime","evo3",214,"2022-02-04_pm","evo","2022-02-04_pm_evo3"
"74",74,"2022-02-04","daytime","evo4",73,"2022-02-04_pm","evo","2022-02-04_pm_evo4"
"75",75,"2022-02-04","daytime","evo5",163,"2022-02-04_pm","evo","2022-02-04_pm_evo5"
"76",76,"2022-02-04","daytime","rap1",85,"2022-02-04_pm","anc","2022-02-04_pm_rap1"
"77",77,"2022-02-04","daytime","rap2",77,"2022-02-04_pm","anc","2022-02-04_pm_rap2"
"78",78,"2022-02-04","daytime","rap3",66,"2022-02-04_pm","anc","2022-02-04_pm_rap3"
"79",79,"2022-02-04","daytime","rap4",79,"2022-02-04_pm","anc","2022-02-04_pm_rap4"
"80",80,"2022-02-04","daytime","rap5",102,"2022-02-04_pm","anc","2022-02-04_pm_rap5"
"81",81,"2022-02-05","overnight","evo1",181,"2022-02-05_am","evo","2022-02-05_am_evo1"
"82",82,"2022-02-05","overnight","evo2",213,"2022-02-05_am","evo","2022-02-05_am_evo2"
"83",83,"2022-02-05","overnight","evo3",148,"2022-02-05_am","evo","2022-02-05_am_evo3"
"84",84,"2022-02-05","overnight","evo4",234,"2022-02-05_am","evo","2022-02-05_am_evo4"
"85",85,"2022-02-05","overnight","evo5",196,"2022-02-05_am","evo","2022-02-05_am_evo5"
"86",86,"2022-02-05","overnight","rap1",192,"2022-02-05_am","anc","2022-02-05_am_rap1"
"87",87,"2022-02-05","overnight","rap2",224,"2022-02-05_am","anc","2022-02-05_am_rap2"
"88",88,"2022-02-05","overnight","rap3",224,"2022-02-05_am","anc","2022-02-05_am_rap3"
"89",89,"2022-02-05","overnight","rap4",246,"2022-02-05_am","anc","2022-02-05_am_rap4"
"90",90,"2022-02-05","overnight","rap5",215,"2022-02-05_am","anc","2022-02-05_am_rap5"
